sample id,mice id,time point,source
1,354,7,Bleed
2,429,0,Bleed
3,439,21,Bleed
4,424,21,Bleed
5,409,7,Bleed
6,419,21,Bleed
7,242,0,Bleed
8,401,21,Bleed
9,421,0,Bleed
10,421,7,Bleed
11,439,0,Bleed
12,439,7,Bleed
13,418,7,Bleed
14,418,21,Bleed
15,405,0,Bleed
16,405,7,Bleed
17,354,0,Bleed
18,354,21,Bleed
19,416,0,Bleed
20,416,7,Bleed
21,416,21,Bleed
22,441,0,Bleed
23,441,7,Bleed
24,441,21,Bleed
25,429,7,Bleed
26,429,21,Bleed
27,429,35,Bleed
28,402,0,Bleed
29,402,7,Bleed
30,402,21,Bleed
31,435,0,Bleed
32,421,21,Bleed
33,418,0,Bleed
34,418,35,Bleed
35,418,49,Bleed
36,405,21,Bleed
37,242,7,Bleed
38,242,21,Bleed
39,424,0,Bleed
40,424,7,Bleed
41,401,0,Bleed
42,401,7,Bleed
43,401,35,Bleed
44,401,49,Bleed
45,401,63,Bleed
46,404,0,Bleed
47,404,7,Bleed
48,404,21,Bleed
49,404,35,Bleed
50,404,49,Bleed
51,404,63,Bleed
52,409,0,Bleed
53,409,21,Bleed
54,409,35,Bleed
55,409,49,Bleed
56,409,63,Bleed
57,419,0,Bleed
58,419,7,Bleed
59,419,35,Bleed
60,419,49,Bleed
61,419,63,Bleed
62,435,21,Bleed
63,435,7,Bleed
64,242,29,Tumor
65,354,25,Tumor
66,401,63,Tumor
67,402,25,Tumor
68,404,63,Tumor
69,409,63,Tumor
70,416,25,Tumor
71,418,51,Tumor
72,419,63,Tumor
73,421,27,Tumor
74,424,30,Tumor
75,429,35,Tumor
76,435,26,Tumor
77,439,22,Tumor
78,405,28,Tumor
79,441,25,Tumor
80,443,0,Bleed
81,443,7,Bleed
82,434,0,Bleed
83,434,7,Bleed
84,438,0,Bleed
85,438,7,Bleed
86,403,0,Bleed
87,403,7,Bleed
88,426,0,Bleed
89,426,7,Bleed
90,431,0,Bleed
91,431,7,Bleed
92,408,0,Bleed
93,408,7,Bleed
94,423,0,Bleed
95,423,7,Bleed
96,432,0,Bleed
97,432,7,Bleed
98,428,0,Bleed
99,428,7,Bleed
100,412,0,Bleed
101,412,7,Bleed
102,427,0,Bleed
103,427,7,Bleed
104,440,0,Bleed
105,440,7,Bleed
106,430,0,Bleed
107,430,7,Bleed
108,406,0,Bleed
109,406,7,Bleed
110,412,21,Bleed
111,428,21,Bleed
112,431,21,Bleed
113,434,21,Bleed
114,426,21,Bleed
115,438,21,Bleed
116,403,21,Bleed
117,406,21,Bleed
118,408,21,Bleed
119,430,21,Bleed
120,432,21,Bleed
121,443,21,Bleed
122,423,21,Bleed
123,427,21,Bleed
124,440,21,Bleed
